actual_cuisine,predicted_cuisine,row_normalized_rate
korean,russian,0.004819277108433735
korean,thai,0.004819277108433735
korean,french,0.004819277108433735
french,brazilian,0.0045351473922902496
cajun_creole,brazilian,0.004527813712807244
irish,moroccan,0.004497751124437781
mexican,british,0.004349176762969867
italian,moroccan,0.004337841286042358
indian,french,0.004329004329004329
brazilian,irish,0.004282655246252677
japanese,mexican,0.004216444132115249
mexican,indian,0.004193849021435228
chinese,jamaican,0.00411522633744856
chinese,brazilian,0.00411522633744856
chinese,russian,0.00411522633744856
chinese,cajun_creole,0.00411522633744856
russian,vietnamese,0.00408997955010225
russian,korean,0.00408997955010225
spanish,jamaican,0.004044489383215369
mexican,moroccan,0.00403852127990059
mexican,russian,0.00403852127990059
indian,spanish,0.003996003996003996
filipino,jamaican,0.003973509933774834
jamaican,vietnamese,0.0038022813688212928
jamaican,moroccan,0.0038022813688212928
jamaican,japanese,0.0038022813688212928
french,mexican,0.003779289493575208
chinese,british,0.0037411148522259632
chinese,spanish,0.0037411148522259632
british,japanese,0.0037313432835820895
british,chinese,0.0037313432835820895
british,moroccan,0.0037313432835820895
southern_us,moroccan,0.003703703703703704
southern_us,japanese,0.003703703703703704
vietnamese,spanish,0.0036363636363636364
korean,irish,0.0036144578313253013
greek,chinese,0.003404255319148936
indian,chinese,0.00333000333000333
thai,italian,0.003248862897985705
cajun_creole,korean,0.003234152652005175
cajun_creole,indian,0.003234152652005175
mexican,jamaican,0.0031065548306927616
mexican,greek,0.0031065548306927616
spanish,japanese,0.003033367037411527
french,indian,0.0030234315948601664
irish,japanese,0.0029985007496251873
irish,korean,0.0029985007496251873
irish,vietnamese,0.0029985007496251873
japanese,jamaican,0.0028109627547434997
italian,japanese,0.0028068384792038787
italian,filipino,0.0026792549119673387
italian,brazilian,0.0026792549119673387
mexican,irish,0.0026405716060888475
thai,moroccan,0.002599090318388564
thai,spanish,0.002599090318388564
cajun_creole,greek,0.00258732212160414
cajun_creole,jamaican,0.00258732212160414
greek,jamaican,0.002553191489361702
greek,filipino,0.002553191489361702
greek,korean,0.002553191489361702
greek,brazilian,0.002553191489361702
british,vietnamese,0.0024875621890547263
moroccan,japanese,0.00243605359317905
moroccan,thai,0.00243605359317905
vietnamese,irish,0.0024242424242424242
korean,british,0.0024096385542168677
korean,greek,0.0024096385542168677
korean,jamaican,0.0024096385542168677
korean,mexican,0.0024096385542168677
southern_us,chinese,0.0023148148148148147
chinese,moroccan,0.002244668911335578
chinese,irish,0.002244668911335578
brazilian,japanese,0.0021413276231263384
brazilian,chinese,0.0021413276231263384
japanese,spanish,0.0021082220660576245
southern_us,thai,0.0020833333333333333
russian,thai,0.002044989775051125
spanish,vietnamese,0.0020222446916076846
mexican,japanese,0.002019260639950295
indian,vietnamese,0.001998001998001998
indian,cajun_creole,0.001998001998001998
thai,greek,0.001949317738791423
cajun_creole,vietnamese,0.0019404915912031048
french,chinese,0.001889644746787604
french,vietnamese,0.001889644746787604
chinese,greek,0.0018705574261129816
mexican,chinese,0.001863932898415657
greek,japanese,0.001702127659574468
greek,vietnamese,0.001702127659574468
southern_us,vietnamese,0.0016203703703703703
mexican,thai,0.0015532774153463808
italian,indian,0.0015310028068384791
irish,thai,0.0014992503748125937
irish,brazilian,0.0014992503748125937
irish,chinese,0.0014992503748125937
japanese,cajun_creole,0.0014054813773717498
italian,jamaican,0.0014034192396019394
southern_us,korean,0.001388888888888889
indian,korean,0.001332001332001332
filipino,greek,0.0013245033112582781
filipino,moroccan,0.0013245033112582781
thai,british,0.001299545159194282
thai,russian,0.001299545159194282
cajun_creole,moroccan,0.00129366106080207
british,korean,0.0012437810945273632
british,thai,0.0012437810945273632
moroccan,brazilian,0.001218026796589525
moroccan,chinese,0.001218026796589525
moroccan,korean,0.001218026796589525
vietnamese,russian,0.0012121212121212121
vietnamese,cajun_creole,0.0012121212121212121
korean,brazilian,0.0012048192771084338
korean,moroccan,0.0012048192771084338
italian,chinese,0.0011482521051288594
italian,vietnamese,0.0011482521051288594
mexican,vietnamese,0.0010872941907424667
spanish,chinese,0.0010111223458038423
spanish,thai,0.0010111223458038423
spanish,korean,0.0010111223458038423
greek,thai,0.000851063829787234
french,korean,0.0007558578987150416
thai,french,0.000649772579597141
thai,cajun_creole,0.000649772579597141
cajun_creole,chinese,0.000646830530401035
cajun_creole,japanese,0.000646830530401035
mexican,korean,0.0006213109661385523
italian,korean,0.0005103342689461597
french,thai,0.0003779289493575208
italian,thai,0.00025516713447307985
